current_path,method,router_prefix,route_path,file,line
/api/v1/alerts/dashboards/operational,POST,/alerts,/dashboards/operational,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/alerts.py,157
/api/v1/alerts/effectiveness,GET,/alerts,/effectiveness,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/alerts.py,240
/api/v1/alerts/metrics,GET,/alerts,/metrics,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/alerts.py,220
/api/v1/alerts/process,POST,/alerts,/process,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/alerts.py,182
/api/v1/alerts/rules/error-handling,POST,/alerts,/rules/error-handling,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/alerts.py,132
/api/v1/alerts/status,GET,/alerts,/status,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/alerts.py,262
/api/v1/alerts/test,POST,/alerts,/test,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/alerts.py,282
/api/v1/alerts/webhooks/grafana,POST,/alerts,/webhooks/grafana,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/alerts.py,74
/api/v1/alerts/webhooks/test,GET,/alerts,/webhooks/test,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/alerts.py,117
/api/v1/api-management/cleanup,POST,/api-management,/cleanup,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/api_management.py,296
/api/v1/api-management/keys,POST,/api-management,/keys,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/api_management.py,39
/api/v1/api-management/keys,GET,/api-management,/keys,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/api_management.py,54
/api/v1/api-management/keys/{key_id},GET,/api-management,/keys/{key_id},/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/api_management.py,80
/api/v1/api-management/keys/{key_id},PUT,/api-management,/keys/{key_id},/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/api_management.py,95
/api/v1/api-management/keys/{key_id},DELETE,/api-management,/keys/{key_id},/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/api_management.py,113
/api/v1/api-management/keys/{key_id}/quota,GET,/api-management,/keys/{key_id}/quota,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/api_management.py,159
/api/v1/api-management/keys/{key_id}/usage,GET,/api-management,/keys/{key_id}/usage,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/api_management.py,128
/api/v1/api-management/quota/check,GET,/api-management,/quota/check,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/api_management.py,379
/api/v1/api-management/rate-limit/check,GET,/api-management,/rate-limit/check,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/api_management.py,353
/api/v1/api-management/usage/analytics,GET,/api-management,/usage/analytics,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/api_management.py,276
/api/v1/api-management/usage/log,POST,/api-management,/usage/log,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/api_management.py,337
/api/v1/api-management/validate,GET,/api-management,/validate,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/api_management.py,315
/api/v1/api-management/versions,POST,/api-management,/versions,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/api_management.py,190
/api/v1/api-management/versions,GET,/api-management,/versions,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/api_management.py,205
/api/v1/api-management/versions/{version_id},GET,/api-management,/versions/{version_id},/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/api_management.py,217
/api/v1/api-management/versions/{version_id},PUT,/api-management,/versions/{version_id},/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/api_management.py,232
/api/v1/api-management/versions/{version_id}/endpoints,POST,/api-management,/versions/{version_id}/endpoints,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/api_management.py,248
/api/v1/api-management/versions/{version_id}/endpoints,GET,/api-management,/versions/{version_id}/endpoints,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/api_management.py,264
/api/v1/audit/audit-queue,GET,/audit,/audit-queue,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/audit_management.py,123
/api/v1/audit/audit-queue/stats,GET,/audit,/audit-queue/stats,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/audit_management.py,158
/api/v1/audit/audit-queue/{entry_id}/retry,POST,/audit,/audit-queue/{entry_id}/retry,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/audit_management.py,195
/api/v1/audit/cdc-log,GET,/audit,/cdc-log,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/audit_management.py,335
/api/v1/audit/cdc-log/stats,GET,/audit,/cdc-log/stats,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/audit_management.py,370
/api/v1/audit/configuration-snapshots,GET,/audit,/configuration-snapshots,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/audit_management.py,231
/api/v1/audit/configuration-snapshots,POST,/audit,/configuration-snapshots,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/audit_management.py,266
/api/v1/audit/configuration-snapshots/{snapshot_id}/activate,GET,/audit,/configuration-snapshots/{snapshot_id}/activate,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/audit_management.py,301
/api/v1/audit/dashboard,GET,/audit,/dashboard,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/audit_management.py,536
/api/v1/audit/health,GET,/audit,/health,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/audit_management.py,489
/api/v1/audit/maintenance/cleanup,POST,/audit,/maintenance/cleanup,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/audit_management.py,520
/api/v1/audit/maintenance/retry-failed,POST,/audit,/maintenance/retry-failed,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/audit_management.py,504
/api/v1/audit/processors,GET,/audit,/processors,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/audit_management.py,414
/api/v1/audit/processors/stats,GET,/audit,/processors/stats,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/audit_management.py,473
/api/v1/audit/processors/{processor_name}/control,POST,/audit,/processors/{processor_name}/control,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/audit_management.py,429
/api/v1/auth/2fa/api-keys,POST,/auth/2fa,/api-keys,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/two_factor.py,183
/api/v1/auth/2fa/api-keys,GET,/auth/2fa,/api-keys,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/two_factor.py,217
/api/v1/auth/2fa/api-keys/{key_id},DELETE,/auth/2fa,/api-keys/{key_id},/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/two_factor.py,239
/api/v1/auth/2fa/disable,POST,/auth/2fa,/disable,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/two_factor.py,128
/api/v1/auth/2fa/setup,POST,/auth/2fa,/setup,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/two_factor.py,23
/api/v1/auth/2fa/status,GET,/auth/2fa,/status,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/two_factor.py,160
/api/v1/auth/2fa/verify,POST,/auth/2fa,/verify,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/two_factor.py,90
/api/v1/auth/2fa/verify-setup,POST,/auth/2fa,/verify-setup,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/two_factor.py,57
/api/v1/auth/me,GET,/auth,/me,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/auth.py,60
/api/v1/auth/oauth/clients/{client_id},GET,/auth/oauth,/clients/{client_id},/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/oauth.py,272
/api/v1/auth/oauth/introspect,POST,/auth/oauth,/introspect,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/oauth.py,233
/api/v1/auth/oauth/revoke,POST,/auth/oauth,/revoke,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/oauth.py,192
/api/v1/auth/oauth/token,POST,/auth/oauth,/token,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/oauth.py,43
/api/v1/auth/portal/authenticate,POST,/auth/portal,/authenticate,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/portal_auth.py,110
/api/v1/auth/portal/config,GET,/auth/portal,/config,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/portal_auth.py,331
/api/v1/auth/portal/config,POST,/auth/portal,/config,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/portal_auth.py,390
/api/v1/auth/portal/config/all,GET,/auth/portal,/config/all,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/portal_auth.py,360
